ime,kilometri,gorivo,menjalnik,motor
Škoda Kodiaq Style 1.5 TSI-SLO-1.LASTNIK,53800,bencinski,ročni,1498 ccm
Volkswagen Passat Variant 2.0 TDI BMT Highline DSG Navi PDC gretje sedežev,211000,diesel,avtomatski,1968 ccm
Suzuki Vitara 1.4 BOOSTERJET 4x4 AllGrip - SLO - KOT NOV -,40000,bencinski,ročni,1373 ccm
Renault Kadjar Energy dCi 130 Bose Edition 4WD,180000,diesel,ročni,1598 ccm
Seat Leon 2.0 TDI CR FR Start-Stop,100862,diesel,ročni,1968 ccm
